@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'pid': 0, 'name': 'System Idle Process'}
{'pid': 7452, 'name': 'svchost.exe'}
{'pid': 7476, 'name': 'Code.exe'}
{'pid': 7696, 'name': '1E.Client.exe'}
{'pid': 7788, 'name': 'wepsvc.exe'}
{'pid': 7796, 'name': 'UpdaterService.exe'}
{'pid': 7804, 'name': 'LenovoVantageService.exe'}
{'pid': 7812, 'name': 'ibmpmsvc.exe'}
{'pid': 7820, 'name': 'RtkAudUService64.exe'}
{'pid': 7828, 'name': 'LenovoVisionService.exe'}
{'pid': 7836, 'name': 'MsSense.exe'}
{'pid': 7844, 'name': 'pc-print-deploy-client.exe'}
{'pid': 7868, 'name': 'snowagent.exe'}
{'pid': 7880, 'name': 'PanGPS.exe'}
{'pid': 7888, 'name': 'MsMpEng.exe'}
{'pid': 7896, 'name': 'svchost.exe'}
{'pid': 7904, 'name': 'FusionAPI.exe'}
{'pid': 7912, 'name': 'svchost.exe'}
{'pid': 7920, 'name': 'GoToAssistProcessChecker.exe'}
{'pid': 7940, 'name': 'MpDefenderCoreService.exe'}
{'pid': 7968, 'name': 'svchost.exe'}
{'pid': 7976, 'name': 'fppsvc.exe'}
{'pid': 7984, 'name': 'sqlwriter.exe'}
{'pid': 7992, 'name': 'svchost.exe'}
{'pid': 8008, 'name': 'DAX3API.exe'}
{'pid': 8016, 'name': 'SmartStandby.exe'}
{'pid': 8024, 'name': 'svchost.exe'}
{'pid': 8040, 'name': 'CSFalconService.exe'}
{'pid': 8080, 'name': 'OfficeClickToRun.exe'}
{'pid': 8100, 'name': 'AppVClient.exe'}
{'pid': 8116, 'name': 'UDClientService.exe'}
{'pid': 8124, 'name': 'pc-print.exe'}
{'pid': 8132, 'name': 'SelfServicePlugin.exe'}
{'pid': 8144, 'name': 'GoodixSessionService.exe'}
{'pid': 8152, 'name': 'LITSSvc.exe'}
{'pid': 8172, 'name': 'msedge.exe'}
{'pid': 8336, 'name': 'sqlservr.exe'}
{'pid': 8388, 'name': 'sqlceip.exe'}
{'pid': 8512, 'name': 'msedge.exe'}
{'pid': 8756, 'name': 'tphkload.exe'}
{'pid': 8812, 'name': 'Code.exe'}
{'pid': 8936, 'name': 'Code.exe'}
{'pid': 9172, 'name': 'RadeonSoftware.exe'}
{'pid': 9200, 'name': 'msedge.exe'}
{'pid': 9356, 'name': 'F1EUI.exe'}
{'pid': 9488, 'name': 'SearchIndexer.exe'}
{'pid': 9800, 'name': 'conhost.exe'}
{'pid': 9876, 'name': 'pc-print-deploy-client.exe'}
{'pid': 10160, 'name': 'conhost.exe'}
{'pid': 10280, 'name': 'svchost.exe'}
{'pid': 10292, 'name': 'WmiPrvSE.exe'}
{'pid': 10304, 'name': 'CSFalconContainer.exe'}
{'pid': 10456, 'name': 'AggregatorHost.exe'}
{'pid': 10764, 'name': 'sihost.exe'}
{'pid': 10784, 'name': 'svchost.exe'}
{'pid': 10884, 'name': 'msedgewebview2.exe'}
{'pid': 10940, 'name': 'dllhost.exe'}
{'pid': 10976, 'name': 'kvoop.exe'}
{'pid': 11008, 'name': 'GoToAssistLoggerProcess.exe'}
{'pid': 11132, 'name': 'msedge.exe'}
{'pid': 11180, 'name': 'EndPointClassifier.exe'}
{'pid': 11196, 'name': 'SenseTVM.exe'}
{'pid': 11300, 'name': 'CSFalconContainer.exe'}
{'pid': 11412, 'name': 'SecurityHealthSystray.exe'}
{'pid': 11424, 'name': 'CSFalconContainer.exe'}
{'pid': 11452, 'name': 'GoToAssistCrashHandler.exe'}
{'pid': 12012, 'name': 'GoToAssistCustomerAttendedApp.exe'}
{'pid': 12132, 'name': 'AppProvisioningPlugin.exe'}
{'pid': 12444, 'name': 'svchost.exe'}
{'pid': 12460, 'name': 'svchost.exe'}
{'pid': 12464, 'name': 'amdpmfserviceuser.exe'}
{'pid': 12472, 'name': 'enterprise_companion.exe'}
{'pid': 12496, 'name': 'StartMenuExperienceHost.exe'}
{'pid': 12572, 'name': 'EPDCtrl.exe'}
{'pid': 12600, 'name': 'RtkAudUService64.exe'}
{'pid': 12608, 'name': 'conhost.exe'}
{'pid': 12764, 'name': 'GoToAssistCrashHandler.exe'}
{'pid': 12928, 'name': 'kvoop.exe'}
{'pid': 12980, 'name': 'svchost.exe'}
{'pid': 12988, 'name': 'AppVStreamingUX.exe'}
{'pid': 13044, 'name': 'GoToAssistCrashHandler.exe'}
{'pid': 13080, 'name': 'DAX3API.exe'}
{'pid': 13232, 'name': 'enterprise_companion.exe'}
{'pid': 13260, 'name': 'tposd.exe'}
{'pid': 13432, 'name': 'svchost.exe'}
{'pid': 13464, 'name': 'kvoop.exe'}
{'pid': 13504, 'name': 'Notepad.exe'}
{'pid': 13536, 'name': 'GoToAssistRemoteControl.exe'}
{'pid': 13560, 'name': 'kvoop.exe'}
{'pid': 13576, 'name': 'svchost.exe'}
{'pid': 13616, 'name': 'kvoop.exe'}
{'pid': 13688, 'name': 'Code.exe'}
{'pid': 13728, 'name': 'ms-teams.exe'}
{'pid': 13736, 'name': 'taskhostw.exe'}
{'pid': 13804, 'name': 'kvoop.exe'}
{'pid': 13828, 'name': 'PowerMgr.exe'}
{'pid': 13860, 'name': 'kvoop.exe'}
{'pid': 13920, 'name': 'SystemSettings.exe'}
{'pid': 13988, 'name': 'kvoop.exe'}
{'pid': 14260, 'name': 'GoToAssistCrashHandler.exe'}
{'pid': 14304, 'name': 'shtctky.exe'}
{'pid': 14344, 'name': 'RtkAudUService64.exe'}
{'pid': 14524, 'name': 'svchost.exe'}
{'pid': 14640, 'name': 'Dserui.exe'}
{'pid': 14688, 'name': 'ShellExperienceHost.exe'}
{'pid': 14956, 'name': 'nxtusm.exe'}
{'pid': 15140, 'name': 'SearchHost.exe'}
{'pid': 15196, 'name': 'Lenovo.Modern.ImController.exe'}
{'pid': 15232, 'name': 'msedgewebview2.exe'}
{'pid': 15288, 'name': 'svchost.exe'}
{'pid': 15316, 'name': 'explorer.exe'}
{'pid': 15348, 'name': 'msedge.exe'}
{'pid': 15572, 'name': 'LenovoVantage-(VantageCoreAddin).exe'}
{'pid': 15600, 'name': 'Code.exe'}
{'pid': 15784, 'name': 'GoToAssistCrashHandler.exe'}
{'pid': 15944, 'name': 'svchost.exe'}
{'pid': 15980, 'name': 'svchost.exe'}
{'pid': 16016, 'name': 'kvoop.exe'}
{'pid': 16152, 'name': 'Microsoft.Notes.exe'}
{'pid': 16240, 'name': 'msedgewebview2.exe'}
{'pid': 16580, 'name': 'RuntimeBroker.exe'}
{'pid': 16772, 'name': 'svchost.exe'}
{'pid': 16784, 'name': 'Widgets.exe'}
{'pid': 16936, 'name': 'RuntimeBroker.exe'}
{'pid': 16988, 'name': 'msedgewebview2.exe'}
{'pid': 16996, 'name': 'RuntimeBroker.exe'}
{'pid': 17068, 'name': 'msedge.exe'}
{'pid': 17072, 'name': 'LenovoVantage-(GenericMessagingAddin).exe'}
{'pid': 17260, 'name': 'ctfmon.exe'}
{'pid': 17348, 'name': 'Code.exe'}
{'pid': 17404, 'name': 'msedgewebview2.exe'}
{'pid': 17476, 'name': 'svchost.exe'}
{'pid': 17576, 'name': 'CsSystemTray_7.25.19706.0.exe'}
{'pid': 17888, 'name': 'msedge.exe'}
{'pid': 17992, 'name': 'svchost.exe'}
{'pid': 18184, 'name': 'CSFalconContainer.exe'}
