~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:11:55 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
0{'name': 'svchost.exe', 'pid': 4492, 'username': None}
0{'name': 'WUDFHost.exe', 'pid': 4552, 'username': None}
0{'name': 'chrome.exe', 'pid': 4564, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 4636, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 4712, 'username': None}
0{'name': 'WmiPrvSE.exe', 'pid': 4844, 'username': None}
0{'name': 'chrome.exe', 'pid': 4892, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'WUDFCompanionHost.exe', 'pid': 4916, 'username': None}
0{'name': 'svchost.exe', 'pid': 5032, 'username': None}
0{'name': 'WUDFHost.exe', 'pid': 5052, 'username': None}
0{'name': 'chrome.exe', 'pid': 5192, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 5272, 'username': None}
0{'name': 'svchost.exe', 'pid': 5368, 'username': None}
0{'name': 'svchost.exe', 'pid': 5392, 'username': None}
0{'name': 'MemCompression', 'pid': 5544, 'username': None}
0{'name': 'RuntimeBroker.exe', 'pid': 5684, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'SystemSettingsBroker.exe', 'pid': 5760, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'nxteufb.exe', 'pid': 5768, 'username': None}
0{'name': 'svchost.exe', 'pid': 5784, 'username': None}
0{'name': 'svchost.exe', 'pid': 5792, 'username': None}
0{'name': 'chrome.exe', 'pid': 5848, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'NgcIso.exe', 'pid': 5868, 'username': None}
0{'name': 'svchost.exe', 'pid': 6084, 'username': None}
0{'name': 'EPDService.exe', 'pid': 6092, 'username': None}
0{'name': 'svchost.exe', 'pid': 6100, 'username': None}
0{'name': 'svchost.exe', 'pid': 6108, 'username': None}
0{'name': 'atieclxx.exe', 'pid': 6116, 'username': None}
0{'name': 'svchost.exe', 'pid': 6240, 'username': None}
0{'name': 'svchost.exe', 'pid': 6352, 'username': None}
0{'name': 'svchost.exe', 'pid': 6380, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 6428, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'dllhost.exe', 'pid': 6432, 'username': 'QAMR-ACCOUNTS\\u1203282'}
