~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:23 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
83{'pid': 4328, 'name': 'svchost.exe', 'username': None}
84{'pid': 4348, 'name': 'svchost.exe', 'username': None}
85{'pid': 4492, 'name': 'svchost.exe', 'username': None}
86{'pid': 4552, 'name': 'WUDFHost.exe', 'username': None}
87{'pid': 4564, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
88{'pid': 4636, 'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
89{'pid': 4712, 'name': 'svchost.exe', 'username': None}
90{'pid': 4844, 'name': 'WmiPrvSE.exe', 'username': None}
91{'pid': 4892, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
92{'pid': 4916, 'name': 'WUDFCompanionHost.exe', 'username': None}
93{'pid': 5032, 'name': 'svchost.exe', 'username': None}
94{'pid': 5052, 'name': 'WUDFHost.exe', 'username': None}
95{'pid': 5192, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
96{'pid': 5272, 'name': 'svchost.exe', 'username': None}
97{'pid': 5292, 'name': 'python.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
98{'pid': 5368, 'name': 'svchost.exe', 'username': None}
99{'pid': 5392, 'name': 'svchost.exe', 'username': None}
100{'pid': 5544, 'name': 'MemCompression', 'username': None}
101{'pid': 5684, 'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
102{'pid': 5760, 'name': 'SystemSettingsBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
103{'pid': 5768, 'name': 'nxteufb.exe', 'username': None}
104{'pid': 5784, 'name': 'svchost.exe', 'username': None}
105{'pid': 5792, 'name': 'svchost.exe', 'username': None}
106{'pid': 5848, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
107{'pid': 5868, 'name': 'NgcIso.exe', 'username': None}
108{'pid': 6084, 'name': 'svchost.exe', 'username': None}
109{'pid': 6092, 'name': 'EPDService.exe', 'username': None}
110{'pid': 6100, 'name': 'svchost.exe', 'username': None}
111{'pid': 6108, 'name': 'svchost.exe', 'username': None}
112{'pid': 6116, 'name': 'atieclxx.exe', 'username': None}
113{'pid': 6240, 'name': 'svchost.exe', 'username': None}
114{'pid': 6352, 'name': 'svchost.exe', 'username': None}
115{'pid': 6380, 'name': 'svchost.exe', 'username': None}
116{'pid': 6428, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
117{'pid': 6432, 'name': 'dllhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
118{'pid': 6484, 'name': 'svchost.exe', 'username': None}
119{'pid': 6560, 'name': 'svchost.exe', 'username': None}
120{'pid': 6588, 'name': 'svchost.exe', 'username': None}
121{'pid': 6708, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
122{'pid': 6772, 'name': 'svchost.exe', 'username': None}
123{'pid': 6904, 'name': 'svchost.exe', 'username': None}
124{'pid': 6932, 'name': 'svchost.exe', 'username': None}
125{'pid': 6936, 'name': 'SecurityHealthSystray.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
126{'pid': 6940, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
127{'pid': 6948, 'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
128{'pid': 7100, 'name': 'svchost.exe', 'username': None}
129{'pid': 7120, 'name': 'AcroRd32.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
130{'pid': 7160, 'name': 'svchost.exe', 'username': None}
131{'pid': 7180, 'name': 'svchost.exe', 'username': None}
132{'pid': 7192, 'name': 'svchost.exe', 'username': None}
133{'pid': 7240, 'name': 'svchost.exe', 'username': None}
134{'pid': 7308, 'name': 'svchost.exe', 'username': None}
135{'pid': 7344, 'name': 'ms-teams.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
136{'pid': 7376, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
137{'pid': 7416, 'name': 'svchost.exe', 'username': None}
138{'pid': 7480, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
139{'pid': 7648, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
140{'pid': 7712, 'name': 'Arellia.Agent.Service.exe', 'username': None}
141{'pid': 7724, 'name': '1E.Client.exe', 'username': None}
142{'pid': 7748, 'name': 'svchost.exe', 'username': None}
143{'pid': 7760, 'name': 'SmartStandby.exe', 'username': None}
144{'pid': 7772, 'name': 'FusionAPI.exe', 'username': None}
145{'pid': 7780, 'name': 'LITSSvc.exe', 'username': None}
146{'pid': 7796, 'name': 'svchost.exe', 'username': None}
147{'pid': 7836, 'name': 'ibmpmsvc.exe', 'username': None}
148{'pid': 7852, 'name': 'CSFalconService.exe', 'username': None}
149{'pid': 7864, 'name': 'LenovoVantageService.exe', 'username': None}
150{'pid': 7872, 'name': 'DAX3API.exe', 'username': None}
151{'pid': 7896, 'name': 'LenovoVisionService.exe', 'username': None}
152{'pid': 7924, 'name': 'PanGPS.exe', 'username': None}
153{'pid': 7960, 'name': 'MpDefenderCoreService.exe', 'username': None}
154{'pid': 7988, 'name': 'RtkAudUService64.exe', 'username': None}
155{'pid': 7996, 'name': 'svchost.exe', 'username': None}
156{'pid': 8008, 'name': 'snowagent.exe', 'username': None}
157{'pid': 8016, 'name': 'UpdaterService.exe', 'username': None}
158{'pid': 8032, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
159{'pid': 8044, 'name': 'UDClientService.exe', 'username': None}
160{'pid': 8072, 'name': 'MsSense.exe', 'username': None}
161{'pid': 8092, 'name': 'GoodixSessionService.exe', 'username': None}
162{'pid': 8124, 'name': 'svchost.exe', 'username': None}
163{'pid': 8156, 'name': 'GoToAssistProcessChecker.exe', 'username': None}
164{'pid': 8168, 'name': 'fppsvc.exe', 'username': None}
165{'pid': 8176, 'name': 'sqlwriter.exe', 'username': None}
166{'pid': 8240, 'name': 'MsMpEng.exe', 'username': None}
167{'pid': 8300, 'name': 'GoToAssistCrashHandler.exe', 'username': None}
168{'pid': 8400, 'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
169{'pid': 8408, 'name': 'SelfServicePlugin.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
170{'pid': 8440, 'name': 'AppVClient.exe', 'username': None}
171{'pid': 8476, 'name': 'sqlservr.exe', 'username': None}
172{'pid': 8500, 'name': 'AggregatorHost.exe', 'username': None}
173{'pid': 8524, 'name': 'sqlceip.exe', 'username': None}
174{'pid': 8592, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
175{'pid': 8856, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
176{'pid': 8980, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
177{'pid': 9240, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
178{'pid': 9264, 'name': 'CSFalconContainer.exe', 'username': None}
179{'pid': 9436, 'name': 'svchost.exe', 'username': None}
180{'pid': 9480, 'name': 'CSFalconContainer.exe', 'username': None}
181{'pid': 9484, 'name': 'GoToAssistCustomerAttendedApp.exe', 'username': None}
182{'pid': 9512, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
183{'pid': 9608, 'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
184{'pid': 9632, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
185{'pid': 9756, 'name': 'tphkload.exe', 'username': None}
186{'pid': 9872, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
187{'pid': 9892, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
188{'pid': 10228, 'name': 'kvoop.exe', 'username': None}
189{'pid': 10232, 'name': 'DAX3API.exe', 'username': None}
190{'pid': 10548, 'name': 'amdpmfserviceuser.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
191{'pid': 10560, 'name': 'CSFalconContainer.exe', 'username': None}
192{'pid': 10576, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
193{'pid': 10652, 'name': 'GoToAssistCrashHandler.exe', 'username': None}
194{'pid': 10848, 'name': 'GoToAssistCrashHandler.exe', 'username': None}
195{'pid': 10896, 'name': 'WmiPrvSE.exe', 'username': None}
