~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:12:46 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
329{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 27796}
330{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 27868}
331{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 27964}
332{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 28032}
333{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 28240}
334{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 28280}
335{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 28692}
336{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 28728}
337{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 28936}
338{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29364}
339{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29428}
340{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29440}
341{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29508}
342{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29512}
343{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29528}
344{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29692}
345{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29724}
346{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29748}
347{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 29804}
348{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'usercontextservice.exe', 'pid': 29936}
349{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 30096}
350{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 30104}
351{'username': None, 'name': 'kvoop.exe', 'pid': 30116}
352{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 30540}
353{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 30600}
354{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 30608}
355{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe', 'pid': 30612}
356{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 30656}
357{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 30660}
358{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 31028}
359{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 31964}
360{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ONENOTEM.EXE', 'pid': 32256}
361{'username': None, 'name': 'svchost.exe', 'pid': 32380}
362{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe', 'pid': 32472}
363{'username': None, 'name': 'SenseTVM.exe', 'pid': 32556}
364{'username': None, 'name': 'kvoop.exe', 'pid': 32664}
365{'username': None, 'name': 'kvoop.exe', 'pid': 33540}
366{'username': None, 'name': 'SearchFilterHost.exe', 'pid': 33844}
367{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 33948}
368{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 34084}
369{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'cmd.exe', 'pid': 34424}
370{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 35028}
371{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 35192}
372{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 35364}
373{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 35412}
374{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 35820}
375{'username': None, 'name': 'svchost.exe', 'pid': 36224}
376{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 36328}
377{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 37320}
378{'username': None, 'name': 'svchost.exe', 'pid': 37372}
379{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'StartMenuExperienceHost.exe', 'pid': 37576}
380{'username': None, 'name': 'OfficeClickToRun.exe', 'pid': 38060}
381{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 38068}
382{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'TextInputHost.exe', 'pid': 38372}
383{'username': None, 'name': 'updater.exe', 'pid': 38472}
384{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 38540}
385{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'python.exe', 'pid': 38648}
386{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 38968}
387{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 39016}
388{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Dserui.exe', 'pid': 39092}
389{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe', 'pid': 39344}
390{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 39528}
391{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 39768}
392{'username': None, 'name': 'svchost.exe', 'pid': 39776}
393{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 40140}
394{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 40260}
395{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 40768}
396{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 41032}
397{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 41156}
398{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 41236}
399{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 41252}
400{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 41360}
401{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'conhost.exe', 'pid': 41884}
402{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RtkUWP.exe', 'pid': 42180}
403{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 42760}
404{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 42888}
405{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 43052}
406{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 43084}
407{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe', 'pid': 43096}
408{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'WindowsTerminal.exe', 'pid': 43352}
409{'username': None, 'name': 'svchost.exe', 'pid': 43716}
410{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 43736}
411{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 44000}
412{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RdrCEF.exe', 'pid': 44164}
413{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 44504}
414{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 44692}
415{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 44708}
416{'username': None, 'name': 'spoolsv.exe', 'pid': 44812}
417{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 44928}
418{'username': None, 'name': 'SearchProtocolHost.exe', 'pid': 45044}
419{'username': None, 'name': 'SenseNdr.exe', 'pid': 45176}
420{'username': None, 'name': 'svchost.exe', 'pid': 45208}
421{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 45572}
422{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 45592}
423{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 45948}
424{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AcroRd32.exe', 'pid': 46636}
425{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RdrCEF.exe', 'pid': 46648}
426{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 46720}
427{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 46784}
428{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 46808}
429{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 47180}
430{'username': None, 'name': 'kvoop.exe', 'pid': 47268}
431{'username': None, 'name': 'enterprise_companion.exe', 'pid': 47824}
432{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 47908}
433{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'notepad++.exe', 'pid': 48072}
434{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 48112}
435{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 48144}
436{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 48300}
437{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Photos.exe', 'pid': 48376}
438{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 48704}
439{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 48952}
440{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 49184}
441{'username': None, 'name': 'kvoop.exe', 'pid': 49196}
442{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 49848}
443{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 49940}
444{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 50460}
445{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 50488}
446{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 50680}
447{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 50944}
448{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 51048}
449{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'powershell.exe', 'pid': 51116}
450{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'OpenConsole.exe', 'pid': 51460}
451{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 51608}
452{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 51688}
453{'username': None, 'name': 'updater.exe', 'pid': 51760}
454{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 51852}
455{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ShellExperienceHost.exe', 'pid': 52144}
456{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SearchHost.exe', 'pid': 52200}
457{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'explorer.exe', 'pid': 52368}
458{'username': None, 'name': 'WmiPrvSE.exe', 'pid': 53016}
459{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 53176}
460{'username': None, 'name': 'EndPointClassifier.exe', 'pid': 53424}
461{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 53608}
462{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 53624}
463{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedge.exe', 'pid': 53748}
464{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'powershell.exe', 'pid': 53964}
465{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 54312}
466{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 54620}
467{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 54900}
468{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'LITSSvc.exe', 'pid': 55036}
469{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 55072}
470{'username': None, 'name': 'conhost.exe', 'pid': 55212}
471{'username': None, 'name': 'kvoop.exe', 'pid': 55380}
472{'username': None, 'name': 'enterprise_companion.exe', 'pid': 55576}
473{'username': None, 'name': 'updater.exe', 'pid': 55728}
474{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'F1EUI.exe', 'pid': 56212}
475{'username': None, 'name': 'pc-print.exe', 'pid': 56624}
476{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SystemSettings.exe', 'pid': 56820}
477{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'OneDrive.exe', 'pid': 56964}
478{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 57036}
479{'username': None, 'name': 'pc-print-deploy-client.exe', 'pid': 57164}
480{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 57360}
481{'username': None, 'name': 'updater.exe', 'pid': 57720}
482{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'backgroundTaskHost.exe', 'pid': 57784}
483{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 57788}
484{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 57904}
485{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 58060}
486{'username': None, 'name': 'pc-print-deploy-client.exe', 'pid': 58260}
487{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 58392}
488{'username': None, 'name': 'SearchIndexer.exe', 'pid': 58544}
489{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AMDGameConfigServ.exe', 'pid': 58568}
490{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 58988}
491{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 59160}
492{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Microsoft.SharePoint.exe', 'pid': 59312}
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
