@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'WUDFHost.exe', 'username': None, 'pid': 4280, 'vms': 1.5}
{'name': 'svchost.exe', 'username': None, 'pid': 4364, 'vms': 26.484375}
{'name': 'amdfendrsr.exe', 'username': None, 'pid': 4432, 'vms': 2.40625}
{'name': 'svchost.exe', 'username': None, 'pid': 4468, 'vms': 1.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 4580, 'vms': 1.33203125}
{'name': 'atiesrxx.exe', 'username': None, 'pid': 4628, 'vms': 2.08984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4664, 'vms': 18.95703125}
{'name': 'WUDFCompanionHost.exe', 'username': None, 'pid': 4700, 'vms': 1.49609375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4772, 'vms': 23.46875}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4800, 'vms': 6.74609375}
{'name': 'conhost.exe', 'username': None, 'pid': 4816, 'vms': 5.33984375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 5000, 'vms': 1.58203125}
{'name': 'svchost.exe', 'username': None, 'pid': 5008, 'vms': 3.22265625}
{'name': 'WindowsTerminal.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5064, 'vms': 140.00390625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5088, 'vms': 8.87890625}
{'name': 'conhost.exe', 'username': None, 'pid': 5172, 'vms': 5.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 5268, 'vms': 1.96875}
{'name': 'uhssvc.exe', 'username': None, 'pid': 5324, 'vms': 3.21484375}
{'name': 'svchost.exe', 'username': None, 'pid': 5464, 'vms': 2.4765625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5608, 'vms': 8.86328125}
{'name': 'svchost.exe', 'username': None, 'pid': 5736, 'vms': 2.23046875}
{'name': 'svchost.exe', 'username': None, 'pid': 5832, 'vms': 2.59375}
{'name': 'svchost.exe', 'username': None, 'pid': 5860, 'vms': 11.796875}
{'name': 'NgcIso.exe', 'username': None, 'pid': 5880, 'vms': 1.1640625}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5904, 'vms': 11.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 5952, 'vms': 1.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 5956, 'vms': 3.33203125}
{'name': 'svchost.exe', 'username': None, 'pid': 5968, 'vms': 1.94140625}
