@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 2372, 'vms': 4.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 2400, 'vms': 3.41796875}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2440, 'vms': 53.59375}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2452, 'vms': 11.69140625}
{'name': 'svchost.exe', 'username': None, 'pid': 2608, 'vms': 2.98046875}
{'name': 'svchost.exe', 'username': None, 'pid': 2640, 'vms': 3.08203125}
{'name': 'svchost.exe', 'username': None, 'pid': 2652, 'vms': 2.13671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2708, 'vms': 9.32421875}
{'name': 'svchost.exe', 'username': None, 'pid': 2820, 'vms': 2.3671875}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2876, 'vms': 201.3984375}
{'name': 'svchost.exe', 'username': None, 'pid': 2900, 'vms': 2.83984375}
{'name': 'svchost.exe', 'username': None, 'pid': 2964, 'vms': 3.14453125}
{'name': 'svchost.exe', 'username': None, 'pid': 2972, 'vms': 1.9453125}
{'name': 'svchost.exe', 'username': None, 'pid': 3016, 'vms': 3.25390625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3044, 'vms': 8.7265625}
{'name': 'svchost.exe', 'username': None, 'pid': 3192, 'vms': 1.84765625}
{'name': 'svchost.exe', 'username': None, 'pid': 3224, 'vms': 4.4296875}
{'name': 'svchost.exe', 'username': None, 'pid': 3232, 'vms': 4.27734375}
{'name': 'svchost.exe', 'username': None, 'pid': 3272, 'vms': 1.921875}
{'name': 'svchost.exe', 'username': None, 'pid': 3368, 'vms': 1.6328125}
{'name': 'svchost.exe', 'username': None, 'pid': 3428, 'vms': 1.80859375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 3436, 'vms': 4.9375}
{'name': 'dwm.exe', 'username': None, 'pid': 3548, 'vms': 161.5078125}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 3592, 'vms': 8.87890625}
{'name': 'svchost.exe', 'username': None, 'pid': 3772, 'vms': 1.99609375}
{'name': 'svchost.exe', 'username': None, 'pid': 3780, 'vms': 3.6796875}
{'name': 'svchost.exe', 'username': None, 'pid': 3816, 'vms': 2.39453125}
{'name': 'svchost.exe', 'username': None, 'pid': 3880, 'vms': 4.09375}
{'name': 'nxtcssu.exe', 'username': None, 'pid': 3908, 'vms': 5.55078125}
{'name': 'nxtcoordinator.exe', 'username': None, 'pid': 3916, 'vms': 9.30078125}
{'name': 'nxtsvc.exe', 'username': None, 'pid': 3924, 'vms': 34.87890625}
