~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 01:48:25 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1) {'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
2) {'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4}
3) {'name': 'fontdrvhost.exe', 'username': None, 'pid': 8}
4) {'name': '', 'username': None, 'pid': 172}
5) {'name': 'Registry', 'username': None, 'pid': 208}
6) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 816}
7) {'name': 'smss.exe', 'username': None, 'pid': 984}
8) {'name': 'svchost.exe', 'username': None, 'pid': 1176}
9) {'name': 'fontdrvhost.exe', 'username': None, 'pid': 1204}
10) {'name': 'WUDFHost.exe', 'username': None, 'pid': 1524}
11) {'name': 'csrss.exe', 'username': None, 'pid': 1548}
12) {'name': 'wininit.exe', 'username': None, 'pid': 1812}
13) {'name': 'csrss.exe', 'username': None, 'pid': 1832}
14) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 1836}
15) {'name': 'conhost.exe', 'username': None, 'pid': 1844}
16) {'name': 'winlogon.exe', 'username': None, 'pid': 1908}
17) {'name': 'services.exe', 'username': None, 'pid': 1928}
18) {'name': 'LsaIso.exe', 'username': None, 'pid': 1960}
19) {'name': 'lsass.exe', 'username': None, 'pid': 1984}
20) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2052}
21) {'name': 'svchost.exe', 'username': None, 'pid': 2104}
22) {'name': 'svchost.exe', 'username': None, 'pid': 2144}
23) {'name': 'svchost.exe', 'username': None, 'pid': 2148}
24) {'name': 'WUDFCompanionHost.exe', 'username': None, 'pid': 2208}
25) {'name': 'GoToAssistLoggerProcess.exe', 'username': None, 'pid': 2228}
26) {'name': 'svchost.exe', 'username': None, 'pid': 2260}
27) {'name': 'svchost.exe', 'username': None, 'pid': 2268}
28) {'name': 'svchost.exe', 'username': None, 'pid': 2284}
29) {'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2316}
30) {'name': 'CSFalconContainer.exe', 'username': None, 'pid': 2328}
31) {'name': 'conhost.exe', 'username': None, 'pid': 2340}
32) {'name': 'amdpmfservice.exe', 'username': None, 'pid': 2436}
