~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 01:48:46 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1) {'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
82) {'name': 'svchost.exe', 'username': None, 'pid': 4328}
83) {'name': 'svchost.exe', 'username': None, 'pid': 4348}
84) {'name': 'svchost.exe', 'username': None, 'pid': 4492}
85) {'name': 'WUDFHost.exe', 'username': None, 'pid': 4552}
86) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4564}
87) {'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4636}
88) {'name': 'svchost.exe', 'username': None, 'pid': 4712}
89) {'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4844}
90) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4892}
91) {'name': 'WUDFCompanionHost.exe', 'username': None, 'pid': 4916}
92) {'name': 'svchost.exe', 'username': None, 'pid': 5032}
93) {'name': 'WUDFHost.exe', 'username': None, 'pid': 5052}
94) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5192}
95) {'name': 'svchost.exe', 'username': None, 'pid': 5272}
96) {'name': 'svchost.exe', 'username': None, 'pid': 5340}
97) {'name': 'svchost.exe', 'username': None, 'pid': 5368}
98) {'name': 'svchost.exe', 'username': None, 'pid': 5392}
99) {'name': 'MemCompression', 'username': None, 'pid': 5544}
100) {'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5684}
101) {'name': 'SystemSettingsBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5760}
102) {'name': 'nxteufb.exe', 'username': None, 'pid': 5768}
103) {'name': 'svchost.exe', 'username': None, 'pid': 5784}
104) {'name': 'svchost.exe', 'username': None, 'pid': 5792}
105) {'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5848}
106) {'name': 'NgcIso.exe', 'username': None, 'pid': 5868}
107) {'name': 'svchost.exe', 'username': None, 'pid': 6084}
108) {'name': 'EPDService.exe', 'username': None, 'pid': 6092}
109) {'name': 'svchost.exe', 'username': None, 'pid': 6100}
110) {'name': 'svchost.exe', 'username': None, 'pid': 6108}
111) {'name': 'atieclxx.exe', 'username': None, 'pid': 6116}
112) {'name': 'svchost.exe', 'username': None, 'pid': 6240}
113) {'name': 'svchost.exe', 'username': None, 'pid': 6352}
