~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 01:58:09 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1) {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
80) {'pid': 4292, 'username': None, 'name': 'svchost.exe'}
81) {'pid': 4316, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
82) {'pid': 4328, 'username': None, 'name': 'svchost.exe'}
83) {'pid': 4348, 'username': None, 'name': 'svchost.exe'}
84) {'pid': 4492, 'username': None, 'name': 'svchost.exe'}
85) {'pid': 4552, 'username': None, 'name': 'WUDFHost.exe'}
86) {'pid': 4564, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
87) {'pid': 4636, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
88) {'pid': 4712, 'username': None, 'name': 'svchost.exe'}
89) {'pid': 4844, 'username': None, 'name': 'WmiPrvSE.exe'}
90) {'pid': 4892, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
91) {'pid': 4916, 'username': None, 'name': 'WUDFCompanionHost.exe'}
92) {'pid': 5032, 'username': None, 'name': 'svchost.exe'}
93) {'pid': 5052, 'username': None, 'name': 'WUDFHost.exe'}
94) {'pid': 5192, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
95) {'pid': 5272, 'username': None, 'name': 'svchost.exe'}
96) {'pid': 5368, 'username': None, 'name': 'svchost.exe'}
97) {'pid': 5372, 'username': None, 'name': 'WmiApSrv.exe'}
98) {'pid': 5392, 'username': None, 'name': 'svchost.exe'}
99) {'pid': 5544, 'username': None, 'name': 'MemCompression'}
100) {'pid': 5684, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe'}
101) {'pid': 5760, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SystemSettingsBroker.exe'}
102) {'pid': 5768, 'username': None, 'name': 'nxteufb.exe'}
103) {'pid': 5784, 'username': None, 'name': 'svchost.exe'}
104) {'pid': 5792, 'username': None, 'name': 'svchost.exe'}
105) {'pid': 5848, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
106) {'pid': 5868, 'username': None, 'name': 'NgcIso.exe'}
107) {'pid': 6084, 'username': None, 'name': 'svchost.exe'}
108) {'pid': 6092, 'username': None, 'name': 'EPDService.exe'}
109) {'pid': 6100, 'username': None, 'name': 'svchost.exe'}
110) {'pid': 6108, 'username': None, 'name': 'svchost.exe'}
111) {'pid': 6116, 'username': None, 'name': 'atieclxx.exe'}
112) {'pid': 6240, 'username': None, 'name': 'svchost.exe'}
113) {'pid': 6352, 'username': None, 'name': 'svchost.exe'}
114) {'pid': 6380, 'username': None, 'name': 'svchost.exe'}
115) {'pid': 6428, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
116) {'pid': 6432, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe'}
117) {'pid': 6484, 'username': None, 'name': 'svchost.exe'}
118) {'pid': 6560, 'username': None, 'name': 'svchost.exe'}
119) {'pid': 6588, 'username': None, 'name': 'svchost.exe'}
120) {'pid': 6708, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
121) {'pid': 6772, 'username': None, 'name': 'svchost.exe'}
122) {'pid': 6904, 'username': None, 'name': 'svchost.exe'}
123) {'pid': 6932, 'username': None, 'name': 'svchost.exe'}
124) {'pid': 6936, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SecurityHealthSystray.exe'}
125) {'pid': 6940, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
126) {'pid': 6948, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe'}
127) {'pid': 7100, 'username': None, 'name': 'svchost.exe'}
128) {'pid': 7120, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AcroRd32.exe'}
129) {'pid': 7160, 'username': None, 'name': 'svchost.exe'}
130) {'pid': 7180, 'username': None, 'name': 'svchost.exe'}
131) {'pid': 7192, 'username': None, 'name': 'svchost.exe'}
132) {'pid': 7240, 'username': None, 'name': 'svchost.exe'}
133) {'pid': 7308, 'username': None, 'name': 'svchost.exe'}
134) {'pid': 7344, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ms-teams.exe'}
135) {'pid': 7376, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
136) {'pid': 7416, 'username': None, 'name': 'svchost.exe'}
137) {'pid': 7480, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
138) {'pid': 7648, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
139) {'pid': 7712, 'username': None, 'name': 'Arellia.Agent.Service.exe'}
140) {'pid': 7724, 'username': None, 'name': '1E.Client.exe'}
141) {'pid': 7748, 'username': None, 'name': 'svchost.exe'}
142) {'pid': 7760, 'username': None, 'name': 'SmartStandby.exe'}
143) {'pid': 7772, 'username': None, 'name': 'FusionAPI.exe'}
144) {'pid': 7780, 'username': None, 'name': 'LITSSvc.exe'}
