~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 15:01:06 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'status': 'running', 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
68{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 3712}
69{'status': 'running', 'username': None, 'name': 'nxtcssu.exe', 'pid': 3728}
70{'status': 'running', 'username': None, 'name': 'nxtcoordinator.exe', 'pid': 3736}
71{'status': 'running', 'username': None, 'name': 'nxtsvc.exe', 'pid': 3748}
72{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 3864}
73{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 3872}
74{'status': 'running', 'username': None, 'name': 'ArelliaACSvc.exe', 'pid': 3948}
75{'status': 'running', 'username': None, 'name': 'WUDFHost.exe', 'pid': 3956}
76{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 3964}
77{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 4160}
78{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 4200}
79{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 4212}
80{'status': 'running', 'username': None, 'name': 'atiesrxx.exe', 'pid': 4224}
81{'status': 'running', 'username': None, 'name': 'amdfendrsr.exe', 'pid': 4256}
82{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 4292}
83{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 4316}
84{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 4328}
85{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 4348}
86{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 4492}
87{'status': 'running', 'username': None, 'name': 'WUDFHost.exe', 'pid': 4552}
88{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 4564}
89{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 4636}
90{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 4712}
91{'status': 'running', 'username': None, 'name': 'WmiPrvSE.exe', 'pid': 4844}
92{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 4892}
93{'status': 'running', 'username': None, 'name': 'WUDFCompanionHost.exe', 'pid': 4916}
94{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 5032}
95{'status': 'running', 'username': None, 'name': 'WUDFHost.exe', 'pid': 5052}
96{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 5192}
97{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 5272}
98{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 5368}
99{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 5392}
100{'status': 'running', 'username': None, 'name': 'MemCompression', 'pid': 5544}
101{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 5684}
102{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SystemSettingsBroker.exe', 'pid': 5760}
103{'status': 'running', 'username': None, 'name': 'nxteufb.exe', 'pid': 5768}
104{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 5784}
105{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 5792}
106{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 5848}
107{'status': 'running', 'username': None, 'name': 'NgcIso.exe', 'pid': 5868}
108{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6084}
109{'status': 'running', 'username': None, 'name': 'EPDService.exe', 'pid': 6092}
110{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6100}
111{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6108}
112{'status': 'running', 'username': None, 'name': 'atieclxx.exe', 'pid': 6116}
113{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6240}
114{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6352}
115{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6380}
116{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 6428}
117{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe', 'pid': 6432}
118{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6484}
119{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 6560}
