~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 14:46:37 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'}
82{'username': None, 'pid': 4256, 'name': 'amdfendrsr.exe'}
83{'username': None, 'pid': 4292, 'name': 'svchost.exe'}
84{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4316, 'name': 'msedgewebview2.exe'}
85{'username': None, 'pid': 4328, 'name': 'svchost.exe'}
86{'username': None, 'pid': 4348, 'name': 'svchost.exe'}
87{'username': None, 'pid': 4492, 'name': 'svchost.exe'}
88{'username': None, 'pid': 4552, 'name': 'WUDFHost.exe'}
89{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4564, 'name': 'chrome.exe'}
90{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4636, 'name': 'svchost.exe'}
91{'username': None, 'pid': 4712, 'name': 'svchost.exe'}
92{'username': None, 'pid': 4844, 'name': 'WmiPrvSE.exe'}
93{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4892, 'name': 'chrome.exe'}
94{'username': None, 'pid': 4916, 'name': 'WUDFCompanionHost.exe'}
95{'username': None, 'pid': 5032, 'name': 'svchost.exe'}
96{'username': None, 'pid': 5052, 'name': 'WUDFHost.exe'}
97{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5192, 'name': 'chrome.exe'}
98{'username': None, 'pid': 5272, 'name': 'svchost.exe'}
99{'username': None, 'pid': 5368, 'name': 'svchost.exe'}
100{'username': None, 'pid': 5392, 'name': 'svchost.exe'}
101{'username': None, 'pid': 5544, 'name': 'MemCompression'}
102{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5684, 'name': 'RuntimeBroker.exe'}
103{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5760, 'name': 'SystemSettingsBroker.exe'}
104{'username': None, 'pid': 5768, 'name': 'nxteufb.exe'}
105{'username': None, 'pid': 5784, 'name': 'svchost.exe'}
106{'username': None, 'pid': 5792, 'name': 'svchost.exe'}
107{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5848, 'name': 'chrome.exe'}
108{'username': None, 'pid': 5868, 'name': 'NgcIso.exe'}
109{'username': None, 'pid': 6084, 'name': 'svchost.exe'}
110{'username': None, 'pid': 6092, 'name': 'EPDService.exe'}
111{'username': None, 'pid': 6100, 'name': 'svchost.exe'}
112{'username': None, 'pid': 6108, 'name': 'svchost.exe'}
113{'username': None, 'pid': 6116, 'name': 'atieclxx.exe'}
114{'username': None, 'pid': 6240, 'name': 'svchost.exe'}
115{'username': None, 'pid': 6352, 'name': 'svchost.exe'}
116{'username': None, 'pid': 6380, 'name': 'svchost.exe'}
117{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6428, 'name': 'msedgewebview2.exe'}
118{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6432, 'name': 'dllhost.exe'}
119{'username': None, 'pid': 6484, 'name': 'svchost.exe'}
120{'username': None, 'pid': 6560, 'name': 'svchost.exe'}
121{'username': None, 'pid': 6588, 'name': 'svchost.exe'}
122{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6708, 'name': 'msedgewebview2.exe'}
123{'username': None, 'pid': 6772, 'name': 'svchost.exe'}
124{'username': None, 'pid': 6880, 'name': 'kvoop.exe'}
125{'username': None, 'pid': 6904, 'name': 'svchost.exe'}
126{'username': None, 'pid': 6932, 'name': 'svchost.exe'}
127{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6936, 'name': 'SecurityHealthSystray.exe'}
128{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6940, 'name': 'msedgewebview2.exe'}
129{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6948, 'name': 'Code.exe'}
130{'username': None, 'pid': 7100, 'name': 'svchost.exe'}
131{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7120, 'name': 'AcroRd32.exe'}
132{'username': None, 'pid': 7160, 'name': 'svchost.exe'}
133{'username': None, 'pid': 7180, 'name': 'svchost.exe'}
134{'username': None, 'pid': 7192, 'name': 'svchost.exe'}
135{'username': None, 'pid': 7240, 'name': 'svchost.exe'}
136{'username': None, 'pid': 7308, 'name': 'svchost.exe'}
137{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7344, 'name': 'ms-teams.exe'}
138{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7376, 'name': 'chrome.exe'}
139{'username': None, 'pid': 7416, 'name': 'svchost.exe'}
