~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 14:48:42 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
72{'name': 'nxtcoordinator.exe', 'pid': 3736, 'username': None}
73{'name': 'nxtsvc.exe', 'pid': 3748, 'username': None}
74{'name': 'svchost.exe', 'pid': 3864, 'username': None}
75{'name': 'svchost.exe', 'pid': 3872, 'username': None}
76{'name': 'ArelliaACSvc.exe', 'pid': 3948, 'username': None}
77{'name': 'WUDFHost.exe', 'pid': 3956, 'username': None}
78{'name': 'svchost.exe', 'pid': 3964, 'username': None}
79{'name': 'svchost.exe', 'pid': 4160, 'username': None}
80{'name': 'chrome.exe', 'pid': 4200, 'username': 'QAMR-ACCOUNTS\\u1203282'}
81{'name': 'chrome.exe', 'pid': 4212, 'username': 'QAMR-ACCOUNTS\\u1203282'}
82{'name': 'atiesrxx.exe', 'pid': 4224, 'username': None}
83{'name': 'amdfendrsr.exe', 'pid': 4256, 'username': None}
84{'name': 'svchost.exe', 'pid': 4292, 'username': None}
85{'name': 'msedgewebview2.exe', 'pid': 4316, 'username': 'QAMR-ACCOUNTS\\u1203282'}
86{'name': 'svchost.exe', 'pid': 4328, 'username': None}
87{'name': 'svchost.exe', 'pid': 4348, 'username': None}
88{'name': 'svchost.exe', 'pid': 4492, 'username': None}
89{'name': 'WUDFHost.exe', 'pid': 4552, 'username': None}
90{'name': 'chrome.exe', 'pid': 4564, 'username': 'QAMR-ACCOUNTS\\u1203282'}
91{'name': 'svchost.exe', 'pid': 4636, 'username': 'QAMR-ACCOUNTS\\u1203282'}
92{'name': 'svchost.exe', 'pid': 4712, 'username': None}
93{'name': 'WmiPrvSE.exe', 'pid': 4844, 'username': None}
94{'name': 'chrome.exe', 'pid': 4892, 'username': 'QAMR-ACCOUNTS\\u1203282'}
95{'name': 'WUDFCompanionHost.exe', 'pid': 4916, 'username': None}
96{'name': 'svchost.exe', 'pid': 5032, 'username': None}
97{'name': 'WUDFHost.exe', 'pid': 5052, 'username': None}
98{'name': 'chrome.exe', 'pid': 5192, 'username': 'QAMR-ACCOUNTS\\u1203282'}
99{'name': 'svchost.exe', 'pid': 5272, 'username': None}
100{'name': 'svchost.exe', 'pid': 5368, 'username': None}
